ID	log2fold	p	p.adj
ENSG00000119650	1.19	1.70242307418E-12	2.4645978845E-08
ENSG00000154096	2.56	9.24107495606E-11	6.68915210694E-07
ENSG00000099889	1.3	2.31974126051E-10	1.11942980761E-06
ENSG00000198208	1.1	5.88790612756E-10	2.13098042522E-06
ENSG00000054148	0.98	3.23104673196E-09	3.59814334912E-06
ENSG00000145623	-1.62	1.59459514359E-09	3.59814334912E-06
ENSG00000135821	-1.42	3.04265798482E-09	3.59814334912E-06
ENSG00000160179	-1.43	2.00150345298E-09	3.59814334912E-06
ENSG00000008311	-1.11	3.0509528166E-09	3.59814334912E-06
ENSG00000168610	-1.06	2.36168737267E-09	3.59814334912E-06
ENSG00000006327	1.86	3.1863383299E-09	3.59814334912E-06
ENSG00000130595	1.27	2.00894705786E-09	3.59814334912E-06
ENSG00000157557	-1.15	1.43857741059E-09	3.59814334912E-06
ENSG00000136436	-0.72	4.1856917161E-09	4.32830421243E-06
ENSG00000118292	1.19	1.22769064767E-08	9.87404305906E-06
ENSG00000160219	1.23	1.0259076573E-08	9.87404305906E-06
ENSG00000005187	1.43	1.19679566547E-08	9.87404305906E-06
ENSG00000106366	-4.68	1.10894025362E-08	9.87404305906E-06
ENSG00000184371	-1.07	1.36806000702E-08	9.90270236083E-06
ENSG00000134294	-0.78	1.31937320278E-08	9.90270236083E-06
ENSG00000140939	0.9	1.69109102344E-08	1.1128147612E-05
ENSG00000125347	-1.86	1.61859425416E-08	1.1128147612E-05
ENSG00000118985	-2.62	1.7933229235E-08	1.1287798245E-05
ENSG00000007908	-2.77	2.16481361215E-08	1.30583361096E-05
ENSG00000163661	-4.67	2.5922517416E-08	1.45704835072E-05
ENSG00000165175	-1.4	2.61678919103E-08	1.45704835072E-05
ENSG00000175206	3.62	2.77008907356E-08	1.48528072289E-05
ENSG00000150938	-1.13	4.7040586997E-08	2.43216634984E-05
ENSG00000187189	-0.91	9.24907911455E-08	4.61720408073E-05
ENSG00000118849	-3.84	9.89432805946E-08	4.77467291056E-05
ENSG00000137801	-2.61	1.12620070361E-07	5.09500237068E-05
ENSG00000116285	-2.09	1.10466818669E-07	5.09500237068E-05
ENSG00000178826	1.45	1.38244419008E-07	6.06474076964E-05
ENSG00000184661	-1.78	1.54163525601E-07	6.56419223566E-05
ENSG00000102554	-2.81	1.64488619739E-07	6.61472707766E-05
ENSG00000134716	1.01	1.62139664677E-07	6.61472707766E-05
ENSG00000232856	-1.94	2.146721139E-07	8.3994816025E-05
ENSG00000075426	-1.64	2.39486888672E-07	8.72446971556E-05
ENSG00000116586	0.88	2.41057393536E-07	8.72446971556E-05
ENSG00000138193	1.03	2.39649918235E-07	8.72446971556E-05
ENSG00000138600	-1.4	2.60431274566E-07	9.19576478509E-05
ENSG00000128016	-1.74	2.75315741918E-07	9.48987141846E-05
ENSG00000215301	-0.83	2.82688998663E-07	9.51741542707E-05
ENSG00000130844	-2.41	3.20990060594E-07	9.84178757131E-05
ENSG00000159388	-1.58	3.22502087053E-07	9.84178757131E-05
ENSG00000228474	0.74	3.16553600588E-07	9.84178757131E-05
ENSG00000164066	0.95	3.33112931542E-07	9.84178757131E-05
ENSG00000167272	0.65	3.29130050103E-07	9.84178757131E-05
ENSG00000240654	2.16	3.13630155028E-07	9.84178757131E-05
ENSG00000069849	-2.25	3.41474763313E-07	9.88706029696E-05
ENSG00000117226	-1.4	3.80455178583E-07	0.000107997051379
ENSG00000163513	-1.25	4.33173442477E-07	0.000120597152437
ENSG00000172602	-2.64	4.4420835603E-07	0.000121335931514
ENSG00000056736	-2.48	4.81409153054E-07	0.000125027048037
ENSG00000162738	-1.07	4.85008724406E-07	0.000125027048037
ENSG00000125730	-1.7	4.71419358425E-07	0.000125027048037
ENSG00000141441	-1.02	4.92266473588E-07	0.000125027048037
ENSG00000163659	-1.21	5.08722363591E-07	0.000126978856167
ENSG00000146223	-0.87	5.88392736443E-07	0.00014437562111
ENSG00000090339	-1.52	6.18509335934E-07	0.000149235994272
ENSG00000187187	0.96	7.44019502866E-07	0.000176576563
ENSG00000140285	-1.33	8.53278893933E-07	0.000199240621733
ENSG00000164405	1.02	8.69191882763E-07	0.00019973477598
ENSG00000162618	-0.79	1.02963195964E-06	0.000232905966871
ENSG00000119917	-1.51	1.10816681517E-06	0.00024681432282
ENSG00000167774	0.94	1.31043619881E-06	0.000287442194699
ENSG00000183617	1.05	1.33115947718E-06	0.00028762978733
ENSG00000187024	1.21	1.40670394899E-06	0.000295465797052
ENSG00000108691	-2.32	1.40824342036E-06	0.000295465797052
ENSG00000184156	-2.72	1.43598237299E-06	0.000296981668767
ENSG00000205208	1.07	1.61455429038E-06	0.000329209893828
ENSG00000178385	-1.8	1.67736625707E-06	0.000337267101439
ENSG00000115163	4.26	1.76619973807E-06	0.000350264022028
ENSG00000173598	-0.91	1.79375623891E-06	0.000350921744199
ENSG00000168062	-2.3	1.92947044673E-06	0.000372439248765
ENSG00000115902	-1.42	2.36859441341E-06	0.000441195376525
ENSG00000166317	0.95	2.38431235726E-06	0.000441195376525
ENSG00000072310	-1.02	2.40874818158E-06	0.000441195376525
ENSG00000183978	0.66	2.43214800806E-06	0.000441195376525
ENSG00000145860	-0.84	2.43804863729E-06	0.000441195376525
ENSG00000100823	-0.65	2.77232452968E-06	0.00049549311378
ENSG00000162654	-1.4	2.84003985799E-06	0.000497862587328
ENSG00000112984	2.92	2.85436172883E-06	0.000497862587328
ENSG00000169813	-0.82	3.04643346763E-06	0.000522569737047
ENSG00000204822	0.72	3.0682066484E-06	0.000522569737047
ENSG00000166173	-0.77	3.19203052058E-06	0.000537337509842
ENSG00000178343	-2.19	3.36650892492E-06	0.000560194824207
ENSG00000173960	-0.78	3.49684864564E-06	0.000575271339124
ENSG00000158006	1.25	3.72571049205E-06	0.000586272943407
ENSG00000116761	-2.15	3.70558709228E-06	0.000586272943407
ENSG00000179772	1.41	3.67186132312E-06	0.000586272943407
ENSG00000140043	0.75	3.63389740203E-06	0.000586272943407
ENSG00000065060	-0.63	3.80277733588E-06	0.000591965671953
ENSG00000214113	0.69	3.93327480518E-06	0.000593146034944
ENSG00000135048	-1.24	3.91381404025E-06	0.000593146034944
ENSG00000101825	1.43	3.90559784879E-06	0.000593146034944
ENSG00000164924	-0.81	4.06985895751E-06	0.000607415960082
ENSG00000240972	1.23	4.1472463881E-06	0.00061264985674
ENSG00000169756	-0.88	4.21397355999E-06	0.000616219143718
ENSG00000132155	-0.51	4.42927399387E-06	0.00062379218856
ENSG00000139083	-0.89	4.32855007367E-06	0.00062379218856
ENSG00000112855	0.58	4.43811531544E-06	0.00062379218856
ENSG00000144524	0.99	4.36995695545E-06	0.00062379218856
ENSG00000137693	-0.77	4.79844513816E-06	0.000667952791011
ENSG00000153922	-1.14	4.95015942741E-06	0.000679726517395
ENSG00000108821	1.5	5.02388183748E-06	0.000679726517395
ENSG00000113448	-1.53	5.0052853932E-06	0.000679726517395
ENSG00000078549	-1.36	5.26713720016E-06	0.000706040233765
ENSG00000168394	-1.39	5.62209071184E-06	0.000745557380788
ENSG00000170323	1.18	5.66493830812E-06	0.000745557380788
ENSG00000154359	-1.17	5.86075192632E-06	0.000764379330066
ENSG00000156219	-1.15	6.15169569581E-06	0.000791580023637
ENSG00000197614	1.07	6.17866565386E-06	0.000791580023637
ENSG00000164342	-2.27	6.56666879021E-06	0.000833909333999
ENSG00000119922	-1.35	6.74467390294E-06	0.000849066470372
ENSG00000088899	-0.9	6.81322066306E-06	0.000850301685682
ENSG00000108342	-4.41	6.87830885673E-06	0.000851087840332
ENSG00000189171	0.61	6.99713046913E-06	0.000858453032217
ENSG00000140105	-0.86	7.16899917883E-06	0.000872147908503
ENSG00000147813	1.07	7.48672697143E-06	0.000903211219712
ENSG00000154447	-1.09	7.68743941901E-06	0.000919760830322
ENSG00000103319	-0.76	7.8315009964E-06	0.000929316720696
ENSG00000089248	0.61	7.95817530958E-06	0.000936670763876
ENSG00000107249	-1.88	8.50780495408E-06	0.000993286228388
ENSG00000134470	-1.13	8.97155997861E-06	0.00103905019048
ENSG00000229644	-2.84	9.1048816514E-06	0.00104612199736
ENSG00000177700	0.73	9.17857844417E-06	0.00104628567036
ENSG00000148677	1.06	9.41347900792E-06	0.00106467918436
ENSG00000136997	-2.36	1.05297792922E-05	0.00113653996354
ENSG00000133065	-0.86	1.05001004672E-05	0.00113653996354
ENSG00000118004	1.08	1.04977026502E-05	0.00113653996354
ENSG00000136643	-0.62	1.02935021434E-05	0.00113653996354
ENSG00000182636	0.81	1.01614199629E-05	0.00113653996354
ENSG00000159399	-1.8	1.05983902105E-05	0.00113653996354
ENSG00000100219	-1.09	1.0317766428E-05	0.00113653996354
ENSG00000168952	-1.01	1.0832097394E-05	0.00114464433557
ENSG00000110422	-0.57	1.08273194053E-05	0.00114464433557
ENSG00000139625	0.92	1.09124990628E-05	0.00114478441255
ENSG00000106852	1.07	1.13238886401E-05	0.00117939522189
ENSG00000196136	-2.6	1.15602452943E-05	0.00118826548756
ENSG00000105379	0.61	1.16552945522E-05	0.00118826548756
ENSG00000180530	-0.92	1.15851563E-05	0.00118826548756
ENSG00000169871	-0.9	1.17986780567E-05	0.00119447176382
ENSG00000165006	-0.52	1.25511385685E-05	0.00123281187279
ENSG00000029993	1.32	1.26883310801E-05	0.00123281187279
ENSG00000117479	-1.59	1.24677076777E-05	0.00123281187279
ENSG00000172954	-1.15	1.25579546631E-05	0.00123281187279
ENSG00000162733	-1.78	1.2633948923E-05	0.00123281187279
ENSG00000221963	-1.59	1.2509468185E-05	0.00123281187279
ENSG00000049618	-0.45	1.31470097021E-05	0.00125216618064
ENSG00000109016	0.66	1.30817305332E-05	0.00125216618064
ENSG00000205560	0.73	1.30733284376E-05	0.00125216618064
ENSG00000100644	-0.79	1.38059934247E-05	0.00130633573078
ENSG00000120913	1.01	1.4763013138E-05	0.00138781909869
ENSG00000046647	0.75	1.52495514745E-05	0.00141627805241
ENSG00000140557	1.25	1.52614061046E-05	0.00141627805241
ENSG00000084676	-0.36	1.57496369475E-05	0.00141822188623
