ID	CNT_1	CNT_10	CNT_2	CNT_3	CNT_4	CNT_5	CNT_6	CNT_7	CNT_8	CNT_9	ICM_1	ICM_10	ICM_11	ICM_12	ICM_13	ICM_2	ICM_3	ICM_4	ICM_5	ICM_6	ICM_7	ICM_8	ICM_9
ENSG00000124209	94.54	163.3	114.52	174.72	139.31	148.58	283.53	99.28	105.66	139.24	98.98	94.94	111.12	119.16	128.68	131.26	104.09	84.43	103.77	105.47	111.8	112.59	119.74
ENSG00000064703	55.78	45.25	38.17	52.55	66.34	61.18	82.74	24.58	38.42	57.45	45.08	17.44	56.05	50.52	62.87	52.31	45.17	24.26	65.34	63.48	75.83	41.7	30.18
ENSG00000164938	154.1	480.06	101.16	285.07	174.37	207.82	84.76	55.78	197.86	166.51	195.02	130.79	236.98	192.57	120.83	269.43	138.46	125.19	283.45	188.48	232.35	168.88	120.72
ENSG00000115204	753.49	393.49	293.92	291.63	324.1	730.28	448	730.88	680.03	467.38	407.68	782.79	882.05	544.33	912.58	232.91	666.76	1316	1208.77	780.28	687.32	843.35	413.74
ENSG00000160161	0	0.98	3.82	0	0.95	4.86	7.06	2.84	3.84	0	2.94	5.81	3.93	0	1.96	1.97	0	1.94	0.96	2.93	0	2.08	0.97
ENSG00000110514	326.16	254.78	362.63	375.71	292.83	146.64	326.92	201.39	221.88	304.77	272.44	186.01	278.28	222.12	207.27	233.9	286.74	249.42	313.24	181.64	267.34	296.06	176.21
ENSG00000111358	18.91	15.74	25.77	35.47	50.23	0	23.21	17.02	47.06	22.4	19.6	16.47	22.62	10.49	20.63	45.4	37.31	19.41	34.59	12.7	18.47	14.59	36.99
ENSG00000174776	20.8	7.87	0	0	1.9	4.86	0	2.84	5.76	1.95	0.98	0	0	3.81	0	2.96	0.98	1.94	4.8	0	4.86	1.04	1.95
ENSG00000076864	92.65	42.3	7.63	30.21	30.33	48.56	3.03	89.82	43.22	18.5	32.34	13.56	11.8	35.27	42.24	36.52	18.66	39.79	40.36	17.58	31.11	50.04	13.63
ENSG00000086015	1966.44	908.96	871.27	884.1	1086.97	1803.37	4513.27	1240.5	1684.72	845.18	1021.15	463.09	2396.38	1486.19	1511.8	588.2	1923.68	2098.22	1839.09	1629.89	1659.48	1748.2	1146.8
ENSG00000163637	22.69	74.76	65.85	48.61	67.28	43.7	52.47	48.22	32.66	70.11	66.64	102.69	57.03	31.46	45.19	63.16	69.72	41.73	36.51	86.91	56.39	72.97	87.62
ENSG00000115808	262.82	590.24	380.76	627.93	395.18	307.84	754.73	295.94	358.27	442.07	396.9	265.45	389.4	311.73	258.35	457.93	370.2	408.58	342.07	362.31	330.54	404.47	399.14
ENSG00000168032	0	1.97	0.95	3.94	4.74	0	2.02	7.56	3.84	6.82	0.98	23.25	5.9	0	4.91	1.97	9.82	1.94	6.73	0.98	3.89	6.25	9.74
ENSG00000167747	31.2	15.74	8.59	11.82	13.27	13.6	45.41	14.18	28.82	13.63	19.6	1.94	26.55	40.04	31.43	19.74	28.48	20.38	20.18	31.25	33.05	16.68	13.63
ENSG00000167740	45.38	46.24	34.35	30.21	57.81	87.4	25.23	85.1	48.99	82.77	84.28	47.47	48.18	61.01	55.99	59.21	73.65	59.2	45.16	49.81	37.91	70.89	68.15
ENSG00000168038	10.4	18.69	22.9	10.51	17.06	67.98	2.02	29.31	14.41	13.63	25.48	10.66	2.95	31.46	26.52	41.45	15.71	4.85	4.8	24.41	19.44	35.44	17.52
ENSG00000167748	18.91	6.89	0	0	0	0	7.06	2.84	7.68	1.95	2.94	0	4.92	3.81	1.96	1.97	27.5	0	0	8.79	7.78	3.13	1.95
ENSG00000148053	43.49	41.32	98.29	98.52	98.56	22.34	33.3	17.02	30.74	17.53	40.18	30.03	34.42	64.82	22.59	27.63	17.68	30.09	11.53	34.18	27.22	44.83	85.67
ENSG00000124201	464.19	763.37	362.63	325.79	235.97	356.4	1070.55	289.32	362.11	291.14	226.38	254.79	262.55	253.58	336.94	290.15	286.74	219.33	323.81	286.13	367.48	288.76	281.35
ENSG00000108784	152.21	60.99	50.58	42.04	77.71	155.38	79.71	123.86	107.58	115.87	57.82	42.63	103.25	83.89	87.43	49.35	85.43	95.11	116.26	94.73	87.49	66.72	70.09
ENSG00000114854	20247.74	19475.8	20703.48	21679.41	24322.73	38679.66	32111.51	45892	33564.7	34343.89	48623.4	59881.43	33991.84	26768.49	39374.52	22324.84	35623.03	42173.12	45109.61	39902.63	32758.02	36295.21	32451.12
ENSG00000213995	343.18	267.57	289.15	197.05	251.13	571.02	510.56	332.82	299.68	259.01	330.26	358.46	390.38	400.38	305.5	235.87	367.26	459.05	429.51	452.15	490.94	471.19	286.21
ENSG00000087494	6.62	1.97	0	0	4.74	1.94	3.03	7.56	1.92	4.87	0.98	18.41	5.9	6.67	0	9.87	0.98	1.94	3.84	5.86	4.86	1.04	7.79
ENSG00000219545	16.07	77.71	63.94	102.47	57.81	34.96	17.15	46.33	12.49	39.92	38.22	64.91	27.53	17.16	29.47	66.12	30.44	46.58	14.41	30.27	15.55	44.83	38.94
ENSG00000169740	182.46	228.22	198.49	187.85	223.65	229.18	135.21	249.61	207.47	231.74	326.34	199.57	231.08	190.66	162.08	232.91	208.18	201.86	228.69	179.69	226.51	190.77	221.96
ENSG00000169744	205.15	153.46	267.2	197.05	298.51	80.6	126.13	126.7	181.53	169.43	217.56	283.86	117.02	113.44	179.77	188.5	128.64	144.6	76.87	172.85	149.71	138.65	157.71
ENSG00000130764	211.77	232.16	285.33	202.3	247.34	262.2	190.7	269.47	193.06	224.93	289.1	338.11	245.83	234.51	251.48	204.29	217.02	296.97	364.17	233.4	232.35	232.47	242.41
ENSG00000177565	534.15	483.01	416.07	629.25	403.7	518.58	995.89	441.55	605.12	610.52	540.96	1105.4	449.38	584.37	457.76	488.52	553.83	559.98	555.38	498.05	629.96	565.01	526.67
ENSG00000059804	36.87	49.19	416.07	52.55	61.6	34.96	43.39	55.78	58.59	26.29	42.14	91.07	11.8	40.04	85.46	24.67	100.16	24.26	73.99	26.37	25.28	19.81	57.44
ENSG00000153714	18.91	7.87	15.27	5.25	19.9	17.48	32.29	4.73	14.41	8.76	27.44	18.41	4.92	22.88	8.84	29.61	21.6	10.68	4.8	12.7	30.14	32.32	21.42
ENSG00000251692	168.28	8.85	30.54	0	20.85	207.82	62.56	176.81	114.3	19.47	22.54	35.85	16.72	192.57	26.52	8.88	31.42	127.14	22.1	39.06	36.94	62.55	15.58
ENSG00000168291	642.88	876.5	1110.8	1217.77	1349.47	1250.8	583.2	1328.44	916.32	1164.56	1751.25	1597.55	1082.65	747.38	1067.79	1274.1	913.23	729.82	676.45	1115.24	1020.77	779.76	1198.4
ENSG00000120907	112.5	142.64	34.35	137.93	90.03	122.36	7.06	36.87	65.31	111.98	38.22	34.88	64.9	38.13	26.52	101.65	21.6	81.52	78.79	48.83	51.52	37.53	53.54
ENSG00000105879	26.47	46.24	52.49	137.93	102.35	33.02	65.59	26.47	28.82	49.66	36.26	33.91	38.35	27.65	40.28	82.9	26.51	39.79	24.02	37.11	17.5	18.76	36.02
ENSG00000117620	59.56	58.04	74.44	80.13	73.92	24.28	45.41	52.95	61.47	63.29	51.94	49.41	34.42	50.52	49.12	78.95	30.44	24.26	4.8	81.06	31.11	55.25	62.3
ENSG00000120903	0	0	0	0	0.95	0	5.05	0	1.92	1.95	0.98	0.97	1.97	0	0	0.99	0	2.91	1.92	0.98	2.92	1.04	1.95
ENSG00000105877	6.62	1.97	0.95	0	2.84	4.86	7.06	0	7.68	2.92	4.9	1.94	7.87	8.58	1.96	2.96	6.87	4.85	4.8	4.88	11.67	5.21	5.84
ENSG00000105875	86.03	52.14	26.72	40.72	29.38	28.16	20.18	51.06	73	46.74	48.02	41.66	40.32	61.01	60.9	48.36	39.28	37.85	104.73	91.8	43.75	54.21	36.99
