ID	symbol	chromosome	start	stop
ENSG00000124209	RAB22A	3	915479	915979
ENSG00000064703	DDX20	13	313360	313860
ENSG00000164938	TP53INP1	7	321448	321948
ENSG00000115204	MPV17	8	13911	14411
ENSG00000160161	CILP2	3	557623	558123
ENSG00000110514	MADD	22	667413	667913
ENSG00000111358	GTF2H3	13	164785	165285
ENSG00000174776	WDR49	3	130174	130674
ENSG00000076864	RAP1GAP	13	457408	457908
ENSG00000086015	MAST2	8	819061	819561
ENSG00000163637	PRICKLE2	11	258598	259098
ENSG00000115808	STRN	3	619231	619731
ENSG00000168032	ENTPD3	11	659178	659678
ENSG00000167747	C19ORF48	16	879562	880062
ENSG00000167740	CYB5D2	3	781969	782469
ENSG00000168038	ULK4	7	371906	372406
ENSG00000167748	KLK1	8	809468	809968
ENSG00000148053	NTRK2	13	62291	62791
ENSG00000124201	ZNFX1	10	797395	797895
ENSG00000108784	NAGLU	10	462773	463273
ENSG00000114854	TNNC1	16	848206	848706
ENSG00000213995	CARKD	13	313995	314495
ENSG00000087494	PTHLH	19	60525	61025
ENSG00000219545	AC006465.3	22	485861	486361
ENSG00000169740	ZNF32	21	194976	195476
ENSG00000169744	LDB2	3	41598	42098
ENSG00000130764	LRRC47	1	118822	119322
ENSG00000177565	TBL1XR1	1	898044	898544
ENSG00000059804	SLC2A3	10	170396	170896
ENSG00000153714	LURAP1L	20	415490	415990
ENSG00000251692	PTX4	20	524676	525176
ENSG00000168291	PDHB	22	393529	394029
ENSG00000120907	ADRA1A	12	70361	70861
ENSG00000105879	CBLL1	20	546225	546725
ENSG00000117620	SLC35A3	1	71603	72103
ENSG00000120903	CHRNA2	19	88829	89329
ENSG00000105877	DNAH11	22	504310	504810
ENSG00000105875	WDR91	13	230004	230504
ENSG00000135074	ADAM19	14	323780	324280
ENSG00000135077	HAVCR2	18	418023	418523
ENSG00000131023	LATS1	21	367167	367667
ENSG00000057294	PKP2	6	809981	810481
ENSG00000112144	ICK	18	770791	771291
ENSG00000131759	RARA	8	32169	32669
ENSG00000142279	WTIP	12	823709	824209
ENSG00000146083	RNF44	17	728748	729248
ENSG00000136250	AOAH	14	206129	206629
ENSG00000149792	MRPL49	15	556062	556562
ENSG00000146085	MUT	13	819211	819711
ENSG00000132591	ERAL1	4	838900	839400
ENSG00000115593	SMYD1	12	244588	245088
ENSG00000102471	NDFIP2	16	750853	751353
ENSG00000149798	CDC42EP2	17	510149	510649
ENSG00000177700	POLR2L	4	168793	169293
ENSG00000177706	FAM20C	8	230987	231487
ENSG00000177707	PVRL3	10	408808	409308
ENSG00000174514	MFSD4	4	444906	445406
ENSG00000110944	IL23A	14	704836	705336
ENSG00000180644	PRF1	3	318490	318990
ENSG00000121716	PILRB	20	279986	280486
ENSG00000187961	KLHL17	20	36362	36862
ENSG00000147689	FAM83A	7	342629	343129
ENSG00000147687	TATDN1	6	297094	297594
ENSG00000147684	NDUFB9	12	819192	819692
ENSG00000188342	GTF2F2	22	168016	168516
ENSG00000188343	FAM92A1	7	366693	367193
ENSG00000114529	C3ORF52	15	688696	689196
ENSG00000147174	ACRC	8	602507	603007
ENSG00000166831	RBPMS2	20	335164	335664
ENSG00000135617	PRADC1	22	710197	710697
ENSG00000162849	KIF26B	10	358526	359026
ENSG00000114520	SNX4	9	141134	141634
ENSG00000166839	ANKDD1A	6	540448	540948
ENSG00000189157	FAM47E	12	316313	316813
ENSG00000149243	KLHL35	8	247026	247526
ENSG00000184702	SEPT5	6	843820	844320
ENSG00000169813	HNRNPF	17	116678	117178
ENSG00000145191	EIF2B5	13	545862	546362
ENSG00000069956	MAPK6	5	516082	516582
ENSG00000145194	ECE2	6	685303	685803
ENSG00000115694	STK25	13	950431	950931
ENSG00000169814	BTD	18	773697	774197
ENSG00000214117	PP12708	11	183134	183634
ENSG00000163462	TRIM46	13	862485	862985
ENSG00000163463	KRTCAP2	3	373376	373876
ENSG00000163464	CXCR1	19	910961	911461
ENSG00000084710	EFR3B	7	690885	691385
ENSG00000105298	CACTIN	5	344164	344664
ENSG00000163468	CCT3	19	423901	424401
ENSG00000168036	CTNNB1	16	522191	522691
ENSG00000141682	PMAIP1	14	250393	250893
ENSG00000068650	ATP11A	21	963019	963519
ENSG00000048471	SNX29	10	775108	775608
ENSG00000105290	APLP1	17	648519	649019
ENSG00000140297	GCNT3	3	58206	58706
ENSG00000162599	NFIA	2	45065	45565
ENSG00000109736	MFSD10	7	560564	561064
ENSG00000109738	GLRB	2	42666	43166
ENSG00000058600	POLR3E	5	23615	24115
ENSG00000029364	SLC39A9	12	89171	89671
ENSG00000029363	BCLAF1	20	11978	12478
ENSG00000162595	DIRAS3	4	18072	18572
ENSG00000118640	VAMP8	6	921479	921979
ENSG00000006210	CX3CL1	9	407435	407935
ENSG00000069329	VPS35	10	254834	255334
ENSG00000090776	EFNB1	21	703619	704119
